관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3050000-101-1987-00084,신설집, 신설동,3050000.0,서울특별시 동대문구 하정로 50-1 1층 (신설동),닭요리,"토/10:00 - 21:00/20:30 라스트오더
일/정기휴무 (매주 일요일)
월/10:00 - 21:00/20:30 라스트오더
화/10:00 - 21:00/20:30 라스트오더
수/10:00 - 21:00/20:30 라스트오더
목/10:00 - 21:00/20:30 라스트오더
금/10:00 - 21:00/20:30 라스트오더
","뚝닭(1인용 닭도리탕) : 9,000원
닭도리탕 (한 마리) : 25,000원
닭 한마리 : 25,000원
닭곰탕 : 8,000원
초계국수 (물/비빔) _ 하절기메뉴 : 7,000원
닭도리탕 (한 마리 반) : 33,000원
닭개장 : 8,000원
제육볶음 : 8,000원
",02-922-2434
3020000-101-2022-00246,와이브루, 신계동,3020000.0,서울특별시 용산구 새창로45길 12 1층 (신계동),카페,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3240000-101-2012-00139,김밥천국, 길동,3240000.0,서울특별시 강동구 명일로 244 (길동),분식,등록된 영업시간이 없습니다.,"참치김밥 : 4,000원
부대찌개 : 8,000원
열무냉면 : 8,000원
마늘떡볶이 : 6,000원
제육볶음정식 : 8,000원
수제돈까스 : 8,000원
야채김밥 : 3,000원
치즈김밥 : 3,500원
김치김밥 : 3,500원
참치김밥 : 4,000원
소고기김밥 : 4,000원
떡볶이 : 5,000원
마늘떡볶이 : 6,000원
오뎅 : 5,000원
우동 : 5,000원
오뎅우동 : 6,000원
열무냉면 : 8,000원
열무국수 : 8,000원
콩국수 : 8,000원
비빔밥 : 6,500원
김치볶음밥 : 7,000원
참치김치볶음밥 : 7,000원
새우볶음밥 : 7,000원
제육볶음정식 : 8,000원
김치찌개 : 7,000원
참치찌개 : 7,000원
된장찌개 : 7,000원
차돌된장찌개 : 8,000원
우렁된장찌개 : 7,500원
수제돈까스 : 8,000원
치즈돈까스 : 8,500원
치즈고구마돈까스 : 8,500원
카레 돈까스 : 9,000원
카레 소스 : 2,500원
공기밥 : 1,000원
계란후라이 : 1,000원
찐계란 : 500원
슬라이스치즈 : 500원
제로콜라(355ml) : 1,500원
콜라(355ml) : 1,500원
사이다(355ml) : 1,500원
생수(500ml) : 1,000원
",02-476-3345
3230000-101-2016-00193,어벤더치, 문정동,3230000.0,서울특별시 송파구 법원로11길 7 c동 지상1층 140호 (문정동 문정현대지식산업센터1-2),카페,"토/정기휴무 (매주 토요일)
일/정기휴무 (매주 일요일)
월/08:00 - 18:00
화/08:00 - 18:00
수/08:00 - 18:00
목/08:00 - 18:00
금/08:00 - 18:00
","아메리카노 : 1,800원
딸기라떼 : 3,800원
바닐라라떼 : 3,000원
더치 커피 : 2,000원
콜드브루 : 2,000원
자몽에이드 : 3,800원
블루베리요거트스무디 : 4,000원
",02-2008-1617
3030000-101-2022-00198,왕십리 순대국, 하왕십리동,3030000.0,서울특별시 성동구 무학봉길 97-1 1층 (하왕십리동),"순대,순댓국","매일/09:30 - 23:00
","순대국 : 9,000원
특 순대국 : 10,000원
순대정식 : 12,000원
내장탕 : 10,000원
순대만국 : 8,000원
모듬순대 : 15,000원
뼈해장국 : 9,000원
",0507-1332-7545
3010000-101-2001-13741,치면식당, 장충동2가,3010000.0,서울특별시 중구 동호로24길 27-3 2층 (장충동2가),퓨전음식,"매일/10:30 - 22:00
","토마토탕면 : 14,000원
오징어미나리 로제 : 14,000원
강황튀김국수 : 14,000원
불고기 포테이토 누들 : 14,000원
오리엔탈 샐러드 국수 : 12,000원
문어먹물라이스 : 15,000원
똠얌순두부탕면 : 14,000원
차돌박이 국수 : 12,000원
양지 국수 : 12,000원
황태비빔국수 : 12,000원
매생이 국수 : 13,000원
차돌박이 비빔덮밥 : 12,000원
불고기 볶음밥 : 12,000원
오돌박이덮밥 : 12,000원
소불고기 냉국수 : 12,000원
",0507-1389-2025
3230000-101-2022-00344,꿀주막, 잠실동,3230000.0,서울특별시 송파구 백제고분로7길 28-7 해경빌딩 2층 (잠실동),요리주점,"토/17:00 - 새벽 03:00
일/17:00 - 새벽 03:00
월/정기휴무 (매주 월요일)
화/17:00 - 새벽 03:00
수/17:00 - 새벽 03:00
목/17:00 - 새벽 03:00
금/17:00 - 새벽 03:00
","꽃도리탕 : 28,000원
차돌순두부짬뽕탕 : 20,000원
육회깻잎냉파스타 : 18,000원
치즈감자전 : 16,000원
육새전 : 21,000원
명란계란탕 : 15,000원
게내장크림파스타 : 18,000원
명란오믈렛 : 15,000원
돼지고기볶음우동 : 16,000원
칠리새우 : 18,000원
제육두부김치 : 18,000원
민물새우깡 : 10,000원
닭 모래집 튀김 : 14,000원
닭 순살 튀김 : 16,000원
",0507-1449-0268
3220000-101-2018-00869,옆집떡볶이, 대치동,3220000.0,서울특별시 강남구 삼성로 347 대일빌딩 1층 (대치동),떡볶이,"매일/11:00 - 23:30
","2인 로제떡볶이 : 13,000원
2인떡볶이 : 10,000원
A SET : 16,000원
B SET : 19,000원
C SET : 21,000원
치떡 SET : 19,000원
",0507-1358-5707
3210000-101-2011-00395,황조가, 방배동,3210000.0,서울특별시 서초구 방배중앙로25길 10 1층 (방배동),한식,"토/11:00 - 24:00
일/15:00 - 24:00
월/11:00 - 24:00
화/11:00 - 24:00
수/11:00 - 24:00
목/11:00 - 24:00
금/11:00 - 24:00
","황조가주 : 8,000원
해물파전 : 15,000원
두부김치 : 15,000원
고추짱 찌개 : 17,000원
생태탕(소) : 22,000원
생태탕(대) : 35,000원
삼합 : 40,000원
감자전 : 13,000원
닭도리탕(소) : 22,000원
닭도리탕(대) : 35,000원
북어찜 : 15,000원
도토리묵 : 12,000원
골뱅이 무침 : 15,000원
김치전 : 12,000원
새우젓 국찌 : 15,000원
",02-3482-9437
3160000-101-2022-00157,화임포차, 고척동,3160000.0,서울특별시 구로구 경인로35길 83 1층 (고척동),포장마차,"토/11:00 - 22:00
일/11:00 - 22:00
월/16:00 - 24:00
화/정기휴무 (매주 화요일)
수/16:00 - 24:00
목/16:00 - 24:00
금/16:00 - 24:00
","병어조림 : 30,000원
홍어무침 : 18,000원
닭볶음탕 : 25,000원
부추전 : 6,000원
김치전 : 6,000원
",0507-1305-1320
