관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3220000-101-2020-00070,스파게티스토리, 삼성동,3220000.0,서울특별시 강남구 삼성로 642 삼성빌딩 지상1층 2호 (삼성동),스파게티스토리,"매일/11:00 - 21:00
","토마토소스 스파게티 : 6,000원
미트소스 스파게티 : 6,500원
토마토치킨 스파게티 : 65,000원
해산물 스파게티 : 8,000원
크림양송이 스파게티 : 7,000원
",02-511-7298
3190000-101-2022-00098,떡볶이참잘하는집 떡참, 사당동,3190000.0,서울특별시 동작구 사당로20길 29 1층 (사당동),분식,"매일/11:00 - 23:00
","맵달국물떡볶이 : 9,500원
매콤로제떡볶이 : 9,800원
멕시칸 더블치즈 떡볶이 : 9,800원
황금순살치킨 : 8,800원
씨앗호떡볶이 : 4,800원
떡순튀 Set : 17,800원
떡치치 Set : 21,100원
떡치밥 Set : 15,800원
",02-585-7794
3070000-101-2022-00140,카페타밥, 장위동,3070000.0,서울특별시 성북구 장위로 25 1층 (장위동),"카페,디저트",등록된 영업시간이 없습니다.,"크로플 : 2,800원
너두 샐러드 : 6,000원
달달구리 떡뽂이 : 5,000원
일본식비프카레 : 12,000원
수제로제함박스테이크 : 13,000원
수제함박스테이크 : 12,000원
",0507-1341-4785
3080000-101-1998-02762,투다리, 수유동,3080000.0,서울특별시 강북구 한천로139나길 1 (수유동),"오뎅,꼬치",등록된 영업시간이 없습니다.,"닭산적 : 변동
",02-903-3318
3080000-101-1990-00700,의정부 부대찌개, 미아동,3080000.0,서울특별시 강북구 도봉로6길 12 1층 (미아동),"찌개,전골","매일/09:00 - 새벽 00:30
","부대찌개 : 10,000원
모듬햄사리 : 10,000원
소세지사리 : 5,000원
스팸사리 : 5,000원
베이컨사리 : 5,000원
떡사리 : 2,000원
라면사리 : 1,000원
베이컨구이(2인) : 20,000원
스파게티사리 : 2,000원
공기밥 (추가시) : 1,000원
",02-980-8068
3140000-101-2019-00202,강남교자, 목동,3140000.0,서울특별시 양천구 목동동로 393 1층 101호 (목동 부영그린타운1차),"칼국수,만두","매일/11:00 - 21:00
","칼국수 : 9,000원
교자만두 : 9,000원
얼큰수제비 : 9,000원
완당떡국 : 9,000원
닭개장 : 10,000원
들깨수제비 : 9,000원
비빔국수 : 9,000원
콩국수 : 10,000원
초계국수 : 10,000원
",02-2061-0378
3140000-101-2015-00070,델리레스토, 신정동,3140000.0,서울특별시 양천구 신정중앙로 107 1층 (신정동),반찬가게,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-2605-7656
3140000-101-2022-00141,목동짐치찜, 신정동,3140000.0,서울특별시 양천구 신정중앙로 16-1 2층 (신정동),한식,"매일/09:00 - 새벽 02:00
","한근(600g)삼겹살 구이 : 18,000원
으뜸 계란말이 : 6,000원
한근(600g)짐치찜 : 23,000원
반근(300g)짐치찜 : 12,000원
",02-2692-2028
3140000-101-2021-00390,굽네치킨, 신정동,3140000.0,서울특별시 양천구 목동남로2길 60-7 지하 1층 2호 (신정동 양천중앙하이츠),"치킨,닭강정","매일/12:00 - 24:00
","허니멜로+콜라 1.25L : 20,000원
오리지널+콜라 1.25L : 18,000원
갈릭마왕+콜라 1.25L : 20,000원
양념 히어로+콜라 1.25L : 20,000원
고추바사삭+콜라 1.25L : 20,000원
갈비천왕+콜라 1.25L : 20,000원
볼케이노+콜라 1.25L : 20,000원
양념 반반+콜라 1.25L : 20,000원
시카고 피자+콜라 1.25L : 19,500원
슈림프시카고 피자+콜라 1.25L : 21,900원
리코타&풀드치킨 시카고 피자+콜라1.25L : 21,000원
고추바사삭 콤보+콜라1.25L : 23,000원
오븐바사삭+콜라 1.25L : 19,000원
치즈바사삭+콜라 1.25L : 20,000원
오븐바사삭+치킨마크니+콜라 1.25L : 21,900원
오리지널+매콤치즈치트킹+콜라 1.25L : 19,000원
오리지널+콘스프치트킹+콜라 1.25L : 19,000원
고추바사삭+매콤치즈치트킹+콜라 1.25L : 21,000원
고추바사삭+콘스프치트킹+콜라 1.25L : 21,000원
허니멜로+콜라 1.25L : 20,000원
오리지널+콜라 1.25L : 18,000원
갈릭마왕+페퍼로니 피자+콜라1.25L : 37,000원
갈릭마왕+콜라 1.25L : 20,000원
양념 히어로+콜라 1.25L : 20,000원
고추바사삭+콜라 1.25L : 20,000원
갈비천왕+콜라 1.25L : 20,000원
볼케이노+콜라 1.25L : 20,000원
볼케이노 모짜렐라+콜라 1.25L : 22,500원
반반A+콜라 1.25L : 20,000원
양념 반반+콜라 1.25L : 20,000원
갈릭마왕반반+콜라1.25L : 20,000원
고추바사삭+티카마살라+콜라1.25L : 22,900원
고추바사삭+콰트로모짜치즈볼+콜라1.25L : 26,000원
오리지널+콰트로모짜치즈볼+콜라1.25L : 24,000원
볼케이노+모짜치즈볼+콜라1.25L : 25,000원
볼케이노+콰트로모짜치즈볼+콜라1.25L : 26,000원
시카고 피자+콜라 1.25L : 19,500원
페퍼로니 피자+콜라 1.25L : 19,000원
슈림프시카고 피자+콜라 1.25L : 21,900원
오리지널+시카고 피자+콜라 1.25L : 35,500원
고추바사삭+시카고 피자+콜라 1.25L : 37,500원
",02-2648-9492
3070000-101-2022-00138,990한줄애김밥, 동소문동6가,3070000.0,서울특별시 성북구 아리랑로 23 1층 (동소문동6가),김밥,"일/정기휴무 (매주 일요일)
월/10:00 - 20:00/15:00 - 16:00 브레이크타임
화/10:00 - 20:00/15:00 - 16:00 브레이크타임
수/10:00 - 20:00/15:00 - 16:00 브레이크타임
목/10:00 - 20:00/15:00 - 16:00 브레이크타임
금/10:00 - 20:00/15:00 - 16:00 브레이크타임
토/10:00 - 20:00/15:00 - 16:00 브레이크타임
","한줄애 스페셜 : 9,900원
떡볶이튀김 세트 : 7,000원
돈까스 : 8,500원
냉모밀 : 6,900원
쫄면 : 5,500원
불고기 뚱찌세트 : 5,100원
불곱창 뚱찌세트 : 5,100원
침치 뚱찌세트 : 4,700원
유채 뚱찌세트 : 4,500원
불오뎅 뚱찌세트 : 4,500원
후리가케 뚱찌세트 : 3,900원
불고기김밥 : 5,990원
묵은지참치김밥 : 4,990원
키토김밥 : 4,990원
새우튀김김밥 : 3,990원
",02-953-3338
