관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3010000-101-2000-13083,참치, 광희동1가,3010000.0,서울특별시 중구 을지로44길 32 (광희동1가),생선회,"토/정기휴무 (매주 토요일)
일/정기휴무 (매주 일요일)
월/11:00 - 22:00
화/11:00 - 22:00
수/11:00 - 22:00
목/11:00 - 22:00
금/11:00 - 22:00
","참치한접시(소) : 30,000원
참치한접시(중) : 50,000원
참치한접시(대) : 70,000원
",02-2269-3116
3000000-101-2022-00132,포담, 적선동,3000000.0,서울특별시 종로구 사직로 133-10 2층 (적선동),중식당,"토/11:30 - 21:00/15:00 - 17:30 브레이크타임
일/정기휴무 (매주 일요일)
월/11:30 - 21:00/15:00 - 17:30 브레이크타임
화/11:30 - 21:00/15:00 - 17:30 브레이크타임
수/11:30 - 21:00/15:00 - 17:30 브레이크타임
목/11:30 - 21:00/15:00 - 17:30 브레이크타임
금/11:30 - 21:00/15:00 - 17:30 브레이크타임
","가지딤섬 : 7,900원
동파육덮밥 : 11,000원
포담샤오롱빠오 : 6,400원
샤오마이 : 7,900원
구채교 : 7,900원
우육면 : 9,000원
탄탄면 : 9,000원
포담 마라탕면 : 9,000원
흑초탕수육(S) : 20,000원
간장탕수육(S) : 20,000원
",02-733-0831
3180000-101-2012-00350,온더보더여의도IFC점, 여의도동,3180000.0,서울특별시 영등포구 국제금융로 10 지하3층 311호 (여의도동 아이에프씨몰),"멕시코,남미음식","매일/11:00 - 22:00/21:00 라스트오더
","시즐링 화이타 샐러드_스테이크 : 32,500원
더블스텍클럽 퀘사디아 : 33,500원
얼티밋 화이타 : 46,500원
코로나리타 : 17,900원
",02-6137-5682
3210000-101-1990-07949,동해횟집, 잠원동,3210000.0,서울특별시 서초구 신반포로 189 1호 (잠원동),생선회,등록된 영업시간이 없습니다.,"동태탕 : 6,000원
구이 : 7,500원
서더리 : 6,000원
대구탕 : 7,000원
내장탕 : 6,500원
",등록된 전화번호가 없습니다.
3180000-101-2020-00118,홍콩면가, 여의도동,3180000.0,서울특별시 영등포구 여의대방로69길 28 유성빌딩 2층 201202호 (여의도동),중식당,"토/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
일/정기휴무 (매주 일요일)
월/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
화/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
수/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
목/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
금/11:00 - 22:00/15:00 - 17:00 브레이크타임/21:30 라스트오더
","소고기 훈둔면 : 9,000원
우육면 : 9,500원
바베큐 포크 볶음밥 : 12,000원
향라대하 : 25,000원
마파두부 : 16,000원
토마토 계란 볶음 : 16,000원
가지뚝배기 : 18,000원
꿔보오루 : 18,000원
마늘칩새우4pcs : 18,000원
지삼선 : 18,000원
라즈지 : 20,000원
찐사위미(옥수수 요리) : 15,000원
란주볶음면 : 9,500원
수교6pcs : 5,000원
공기밥 : 2,000원
",02-780-3913
3210000-101-1990-07808,페리카나치킨, 서초동,3210000.0,서울특별시 서초구 서초대로60길 25 (서초동(1층)),"치킨,닭강정","매일/11:00 - 새벽 01:30
","양념치킨 : 변동
후라이드 : 변동
반반치킨 : 변동
간장치킨 : 변동
마늘치킨 : 변동
매운양념치킨 : 변동
매운후라이드 : 변동
핫데블치킨 : 변동
핫칠리치킨 : 변동
치즈뿌리오 : 변동
파닭치킨 : 변동
로스핀 : 변동
페리윙봉 후라이드 : 변동
페리윙봉 간장치킨 : 변동
페리윙봉 반반치킨 : 변동
",02-585-4066
3210000-101-1990-04563,하나미, 양재동,3210000.0,서울특별시 서초구 강남대로6길 15 (양재동),일식당,"매일/12:00 - 22:00
","사시미정식 : 55,000원
사시미 1인 : 100,000원
",02-574-0574
3210000-101-1990-03398,꼬꼬방, 반포동,3210000.0,서울특별시 서초구 서초중앙로 238 (반포동246호 249호250호),"백반,가정식",등록된 영업시간이 없습니다.,"쭈꾸미삼겹살 : 14,000원
쭈꾸미숙회 : 13,000원
쭈꾸미정식 : 10,000원
백반 : 7,000원
찌개구이볶음 : 10,000원
",02-535-0577
3210000-101-1989-09020,미락, 잠원동,3210000.0,서울특별시 서초구 신반포로 165 (잠원동),생선회,"토/10:00 - 22:00
일/정보없음
월/10:00 - 22:00
화/10:00 - 22:00
수/10:00 - 22:00
목/10:00 - 22:00
금/10:00 - 22:00
","광어, 우럭, 농어, 도미 : 무료
",02-533-3426
3030000-101-2019-00103,사운드 플래닛, 성수동1가,3030000.0,서울특별시 성동구 서울숲6길 20 지하1층 (성수동1가),바(BAR),"토/18:00 - 새벽 02:00
일/18:00 - 24:00
월/19:00 - 새벽 01:00
화/19:00 - 새벽 01:00
수/19:00 - 새벽 01:00
목/19:00 - 새벽 01:00
금/18:00 - 새벽 02:00
","아메리칸스테이크 100g : 15,000원
칵테일 : 변동
위스키 : 변동
",02-466-3863
3210000-101-1989-08921,전마루, 방배동,3210000.0,서울특별시 서초구 효령로31길 46 (방배동),"맥주,호프",등록된 영업시간이 없습니다.,"두부김치 : 20,000원
골뱅이소면 : 18,000원
계란말이 : 15,000원
오징어숙회 : 18,000원
감자전 : 13,000원
전마루 세트 : 31,000원
모듬전 : 24,000원
해물파전 : 20,000원
맷돌녹두빈대떡 : 17,000원
맷돌해물빈대떡 : 20,000원
맷돌고기빈대떡 : 20,000원
동그랑땡 : 15,000원
동태전 : 17,000원
깻잎전 : 15,000원
김치전 : 13,000원
",02-522-5338
3210000-101-1988-11774,왕떡볶이, 서초동,3210000.0,서울특별시 서초구 남부순환로339길 60 (서초동(1층)),종합분식,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3210000-101-1988-09102,명가 무안뻘낙지, 서초동,3210000.0,서울특별시 서초구 강남대로37길 49 1층 (서초동),낙지요리,등록된 영업시간이 없습니다.,"산낙지볶음 중 : 48,000원
산낙지찜 중 : 48,000원
초무침 : 58,000원
갈낙탕 중 : 55,000원
연포탕 중 : 48,000원
",02-3474-1278
