관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3210000-101-2012-00060,프로간장게장, 잠원동,3210000.0,서울특별시 서초구 강남대로97길 9 3층 (잠원동 프로빌딩),게요리,"매일/10:00 - 23:00
","간장게장 : 78,000원
양념게장 : 82,000원
반반게장 : 80,000원
게알비빔밥 : 25,000원
아귀찜(대) : 60,000원
아귀찜(소) : 50,000원
꽃게탕(대) : 95,000원
꽃게탕(소) : 75,000원
간장게장 : 78,000원
양념게장 : 82,000원
반반게장 : 80,000원
게 튀김 (소프트 쉘 크랩) : 40,000원
꽃게찜(대) : 90,000원
꽃게찜(소) : 73,000원
꽃게범벅 : 75,000원
꽃게탕(대) : 95,000원
꽃게탕(소) : 75,000원
아귀찜(대) : 60,000원
아귀찜(소) : 50,000원
아귀탕(대) : 60,000원
아귀탕(소) : 50,000원
아귀수육 : 70,000원
해물모듬찜 : 95,000원
해물모듬탕 : 95,000원
해물볶음면 : 40,000원
산낙지 : 30,000원
산낙지 볶음 : 38,000원
산낙지찜 : 53,000원
연포탕 : 35,000원
연포무침 : 38,000원
게알비빔밥 : 25,000원
옥돔튀김구이 : 50,000원
갈치튀김구이 : 45,000원
갈치조림 : 50,000원
전복장 : 30,000원
매생이전 : 20,000원
콜라 : 2,000원
사이다 : 2,000원
",02-543-4126
3210000-101-2011-00563,리빙푸드, 잠원동,3210000.0,서울특별시 서초구 나루터로10길 24 1층 101호 (잠원동 로얄빌라트),"도시락,조리식품제조",,등록된 메뉴가 없습니다.,02-517-7201
3140000-101-2022-00137,메가비어, 목동,3140000.0,서울특별시 양천구 오목로 315 대영상가 2층 (목동),"맥주,호프","수/17:00 - 새벽 01:00/새벽 00:30 라스트오더
목/17:00 - 새벽 01:00/새벽 00:30 라스트오더
금/17:00 - 새벽 01:00/새벽 00:30 라스트오더
토/17:00 - 새벽 01:00/새벽 00:30 라스트오더
일/17:00 - 새벽 01:00/새벽 00:30 라스트오더
월/17:00 - 새벽 01:00/새벽 00:30 라스트오더
화/정기휴무 (매주 화요일)
","얼큰짬뽕탕 : 15,900원
부산아지매 오다리튀김 : 5,900원
모둠튀김떡볶이 : 8,900원
김피탕 : 10,900원
고르곤졸라 피자 : 14,900원
메가포 : 9,900원
황태간장버터구이 : 10,900원
통족(가문어족) : 7,900원
메가생맥주 : 2,700~6,900
코젤다크 : 5,400원
",02-6951-3522
3150000-101-2014-00303,수다떠는 오징어, 염창동,3150000.0,서울특별시 강서구 양천로 690 1층 (염창동 호서빌딩),생선회,"매일/11:30 - 새벽 02:00
","광어+연어 : 32,000원
광어+우럭 : 45,000원
연어(1인) : 25,000원
연어(2~3인) : 35,000원
모듬초밥(12P+3서비스) : 15,000원
참치세트 B(30PCS) : 30,000원
참치스페셜(참다랑어A+참치B) : 59,000원
1인 속초물회(활어/활어+전복or멍게+참소라)(1인 활어물회) : 15,900원
1인 속초물회(활어/활어+전복or멍게+참소라)(1인 활어전복물회) : 18,900원
1인 속초물회(활어/활어+전복or멍게+참소라)(1인 활어멍게물회) : 18,900원
1인 속초물회(활어/활어+전복or멍게+참소라)(1인 활어전복멍게물회) : 20,900원
2인 속초물회 (활어+전복+멍게+참소라+면사리)(2인) : 30,900원
광어사시미(1인분) : 18,000원
광어+우럭사시미(1인분) : 19,000원
광어+연어 사시미(1인분) : 20,000원
우럭+연어 사시미(1인분) : 21,000원
대참돔사시미(1인) : 23,000원
광어+연어 : 32,000원
광어+우럭 : 32,000원
우럭+연어 : 32,000원
모듬회(2~3인분) : 40,000원
광어+연어 : 45,000원
광어+우럭 : 45,000원
우럭+연어 : 45,000원
광어+우럭+연어(4인) : 60,000원
모듬회(광어+우럭+연어+참돔or기타활어회)(3~4인분) : 60,000원
참치A+광어 : 32,000원
참치A+우럭 : 35,000원
참치A+연어 : 35,000원
참치B+광어 : 43,000원
참치B+우럭 : 45,000원
참치세트 A(15PCS) : 16,000원
참치세트 B(30PCS) : 30,000원
참치세트 C(45PCS) : 45,000원
참다랑어 A(12PCS) : 29,900원
참다랑어 B(24PCS) : 58,900원
광어세꼬시 : 15,000원
광어(중) : 36,000원
광어(대) : 56,000원
광어(특대) : 90,000원
광어(소) : 30,000원
광어 활초밥(10P+2P서비스) : 14,900원
연어 초밥(10P+2P서비스) : 14,900원
광어+연어초밥(10P+2P서비스) : 14,900원
참치초밥(10P+2P서비스) : 13,900원
새우초밥(10P+2P서비스) : 9,900원
멍게 : 15,000원
개불 : 17,000원
해삼 : 20,000원
전복(4마리) : 15,000원
전복(6마리) : 20,000원
생우럭 매운탕(비조리) : 20,000원
광어회덮밥 : 9,900원
참치회덮밥 : 9,900원
멍게회덮밥 : 9,900원
공기밥 : 1,000원
",02-2658-2582
3210000-101-2011-00369,더블유, 잠원동,3210000.0,서울특별시 서초구 강남대로99길 25 2층 (잠원동),바(BAR),"수/17:30 - 새벽 04:00
목/17:30 - 새벽 04:00
금/17:30 - 새벽 04:00
토/17:30 - 새벽 04:00
일/정보없음
월/17:30 - 새벽 04:00
화/17:30 - 새벽 04:00
","위스키 : 50,000원
칵테일 : 10,000원
비어 : 6,000원
",02-549-8811
3210000-101-2011-00248,김봉남 포장마차, 서초동,3210000.0,서울특별시 서초구 반포대로12길 26 (서초동1층),포장마차,"매일/17:00 - 새벽 04:00/새벽 03:30 라스트오더
","국물떡볶이대표 : 17,000원
부추꼬꼬대표 : 30,000원
부추차돌대표 : 22,000원
국물닭발매운맛2단계대표 : 19,000원
감자전대표 : 16,000원
고추장찌개대표 : 19,000원
부추꼬꼬대표 : 30,000원
부추차돌대표 : 22,000원
골뱅이소면 : 21,000원
국물떡볶이대표 : 17,000원
계란말이 : 16,000원
두부김치 : 16,000원
국물닭발매운맛2단계대표 : 19,000원
육회 : 19,000원
김치삼겹살 : 18,000원
계팸 : 16,000원
계란찜 : 13,000원
얼음황도 : 13,000원
감자전대표 : 16,000원
부추전 : 16,000원
김치전 : 16,000원
닭도리탕 : 30,000원
고추장찌개대표 : 19,000원
차돌된장찌개 : 19,000원
부대찌개 : 19,000원
양푼김치찌개 : 18,000원
오뎅탕 : 16,000원
황태탕 : 16,000원
번데기탕 : 11,000원
먹태 : 15,000원
허니버터문어 : 14,000원
한치 : 14,000원
마른오징어 : 14,000원
낙지볶음소면 : 23,000원
무뼈닭발 : 16,000원
똥집 : 16,000원
오돌뼈 : 16,000원
제육볶음 : 16,000원
오징어볶음 : 17,000원
오징어데침 : 14,000원
돈가스 : 17,000원
소시지감튀 : 16,000원
똥집야채튀김 : 16,000원
옛날통닭 : 16,000원
생맥주(500cc) : 4,000원
생맥주(2000cc) : 14,000원
호가든 : 6,000원
호가든로제 : 6,000원
하이네켄 : 6,000원
스텔라 : 6,000원
블랑 : 7,000원
기네스 : 7,000원
산미구엘 : 6,000원
블루문 : 8,000원
빅웨이브 : 8,000원
대동강 : 8,000원
라면 : 5,000원
참치마요주먹밥 : 5,000원
비빔면 : 5,000원
계파게티 : 5,000원
불닭게티 : 10,000원
라면사리 : 2,000원
우동사리 : 3,000원
비엔나 햄사리 : 3,000원
스팸햄사리 : 5,000원
피자치즈사리 : 5,000원
막걸리_심술 : 5,000원
처음처럼_사과 : 4,000원
참이슬_자몽 : 4,000원
장수막걸리 : 4,000원
막걸리_느린마을 : 5,000원
참이슬_자두 : 4,000원
참이슬_포도 : 4,000원
심술 7도 : 7,000원
테라 : 5,000원
좋은데이_깔라만시 : 4,000원
카스 : 5,000원
매화수 : 5,000원
청하 : 5,000원
한라산 : 5,000원
심술 12도 : 7,000원
심술 10도 : 7,000원
산사춘 : 12,000원
한라토닉 : 10,000원
하이볼 : 8,000원
빙탄복 : 8,000원
화요41 : 45,000원
일품진로 : 25,000원
화요 : 25,000원
복분자 : 12,000원
토닉워터 : 2,000원
레몬슬라이스 : 2,000원
콜라 : 2,000원
사이다 : 2,000원
환타(파인) : 2,000원
환타(오렌지) : 2,000원
갈아만든배 : 2,000원
",02-549-9292
3210000-101-2011-00165,이올로화덕피자, 서초동,3210000.0,서울특별시 서초구 강남대로39길 5 (서초동두산위브 106호일부),이탈리아음식,"수/11:00 - 21:30/15:00 - 17:00 브레이크타임
목/11:00 - 21:30/15:00 - 17:00 브레이크타임
금/11:00 - 21:30/15:00 - 17:00 브레이크타임
토/11:30 - 21:30
일/정기휴무 (매주 일요일)
월/11:00 - 21:30/15:00 - 17:00 브레이크타임
화/11:00 - 21:30/15:00 - 17:00 브레이크타임
","마르게리따 : 14,000원
루꼴라 : 16,000원
해산물 리조또 : 14,000원
까르보나라 : 12,000원
알리오올리오 : 10,000원
봉골레 : 12,000원
화덕팬파스타 : 13,000원
빠네파스타 : 13,000원
1++한우등심스테이크 : 46,000원
오리엔탈샐러드 : 7,000원
카프레제샐러드 : 13,000원
엑스트라 마르게리따 : 18,000원
마리나라 피자 : 10,000원
마르게리따 피자 : 14,000원
고르곤졸라 피자 : 14,000원
",02-522-9994
3210000-101-2011-00068,양평신내서울해장국, 잠원동,3210000.0,서울특별시 서초구 강남대로 615 지하1층 (잠원동),해장국,"매일/00:00 - 24:00
","양평해장국 : 10,000원
특해장국 : 12,000원
내장탕 : 12,000원
해내탕 : 12,000원
불고기해장국 : 10,000원
",02-516-0208
3210000-101-2011-00037,자이식당, 반포동,3210000.0,서울특별시 서초구 잠원로 24 (반포동반포자이상가 B-9호),한식,등록된 영업시간이 없습니다.,"된장찌개 : 7,000원
김치찌개 : 7,000원
순두부 : 7,000원
비빔밥 : 7,000원
육개장 : 8,000원
",02-593-0503
3210000-101-2010-00633,베키아에누보, 반포동,3210000.0,서울특별시 서초구 신반포로 176 신세계백화점 1MF층 (반포동),케이크전문,"수/10:30 - 20:00
목/10:30 - 20:00
금/10:30 - 20:30
토/10:30 - 20:30
일/10:30 - 20:30
월/10:30 - 20:00
화/10:30 - 20:00
","블랙 누들 파스타 : 27,000원
브리&가지 파니니 : 19,000원
치킨 커리 샌드위치 : 19,000원
치킨 토스타다 : 25,000원
갈릭&쉬림프 파스타 : 25,000원
화이트 라구 크림 파스타 : 25,000원
오징어 먹물 리조또 : 27,500원
관자&시금치 리조또 : 27,500원
볼케이노 햄버그 스테이크 : 27,500원
",02-3479-1440
