관리번호,사업장명,동주소,자치단체코드,도로명주소,음식타입,영업시간,메뉴,업체전화번호
3040000-101-2019-00387,명륜진사갈비자양점, 자양동,3040000.0,서울특별시 광진구 뚝섬로 503 1층 (자양동),"육류,고기요리","매일/12:00 - 22:30
","무한리필 숯불돼지갈비 : 16,500원
1인 무한리필 : 20,000원
돼지껍데기 : 3,000원
소갈비살 : 9,000원
",02-464-4564
3040000-101-2019-00386,좋다닭발, 자양동,3040000.0,서울특별시 광진구 뚝섬로22길 28 1층 (자양동),한식,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-3159-9988
3040000-101-2018-00249,수상한초밥집, 자양동,3040000.0,서울특별시 광진구 뚝섬로 595 1층 101호 (자양동),"초밥,롤","월/정기휴무 (매주 월요일)
화/11:30 - 23:00/15:00 - 17:00 브레이크타임
수/11:30 - 23:00/15:00 - 17:00 브레이크타임
목/11:30 - 23:00/15:00 - 17:00 브레이크타임
금/11:30 - 23:00/15:00 - 17:00 브레이크타임
토/11:30 - 23:00/15:00 - 17:00 브레이크타임
일/11:30 - 23:00/15:00 - 17:00 브레이크타임
","모듬 초밥 : 13,000원
연어 초밥 : 17,000원
특선 초밥 : 18,000원
광연 반반 초밥 : 19,000원
수상한 초밥 : 25,000원
도로 초밥 : 35,000원
",02-446-7333
3040000-101-2017-00292,이가네바지락칼국수, 군자동,3040000.0,서울특별시 광진구 군자로 140 1층 (군자동),국수,"매일/10:00 - 22:00/21:30 라스트오더
","바지락칼국수 : 7,000원
바지락칼제비 : 7,500원
바지락얼큰수제비 : 8,000원
새알팥죽 : 8,000원
팥칼국수 : 7,500원
왕만두 3개 : 4,000원
냉콩국수(계절음식) : 8,000원
왕만두 6개 : 7,000원
",02-463-0077
3040000-101-2015-00028,바보들의행진, 자양동,3040000.0,서울특별시 광진구 동일로12길 26 1층 (자양동),한식,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,02-497-2105
3040000-101-2014-00379,매일더맥주강변점, 구의동,3040000.0,서울특별시 광진구 구의강변로 86 1층 (구의동),"맥주,호프","월/17:00 - 24:00/23:30 라스트오더
화/17:00 - 24:00/23:30 라스트오더
수/17:00 - 24:00/23:30 라스트오더
목/17:00 - 24:00/23:30 라스트오더
금/17:00 - 24:00/23:30 라스트오더
토/17:00 - 24:00/23:30 라스트오더
일/17:00 - 24:00/23:30 라스트오더
","크리스피치킨 : 17,000원
스노우치킨 : 18,000원
오뎅탕 : 11,000원
버터품은먹태 : 13,000원
망고황도 : 8,000원
퀘사디아 : 15,000원
고르곤피자 : 15,000원
국물떡볶이 : 8,000원
감자튀김 : 8,000원
골빔면 : 11,000원
나쵸칩 : 10,000원
",02-456-4400
3040000-101-2013-00208,쌍둥이식당, 중곡동,3040000.0,서울특별시 광진구 긴고랑로 128 1층 (중곡동),한식,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3040000-101-2009-00216,산사람들, 구의동,3040000.0,서울특별시 광진구 영화사로 78 (구의동(지하)),한식,등록된 영업시간이 없습니다.,등록된 메뉴가 없습니다.,등록된 전화번호가 없습니다.
3040000-101-2007-00047,놀부부대찌개, 자양동,3040000.0,서울특별시 광진구 아차산로 262 (자양동 스타시티판매동지하1층41호),"찌개,전골","매일/11:00 - 22:00/21:15 라스트오더
","놀부부대찌개 밀키트(비조리,냉동) 2인 : 17,000원
제육&놀부부대찌개(2인) : 28,000원
제육&놀부부대찌개(3인) : 38,500원
제육&놀부부대찌개(4인) : 48,000원
쭈곱새(2인) : 32,000원
쭈곱새(3인) : 48,000원
쭈곱새(4인) : 64,000원
우곱새(2인) : 32,000원
우곱새(3인) : 48,000원
우곱새(4인) : 64,000원
놀부부대찌개 밀키트(비조리,냉동) 1인 : 8,900원
놀부부대찌개 밀키트(비조리,냉동) 2인 : 17,000원
[단품]콩나물불고기부대찌개 : 10,500원
[세트]콩나물불고기부대세트(2인) : 26,500원
[세트]콩나물불고기부대세트(3인) : 37,500원
[세트]콩나물불고기부대세트(4인) : 47,500원
쭈곱새(2인) : 32,000원
쭈곱새(3인) : 48,000원
쭈곱새(4인) : 64,000원
우곱새(2인) : 32,000원
우곱새(3인) : 48,000원
놀부부대세트(2인) : 25,500원
놀부부대세트(4인) : 45,500원
놀부부대세트(3인) : 36,000원
제육&놀부부대찌개(2인) : 28,000원
제육&놀부부대찌개(3인) : 38,500원
우삼겹부대찌개(1인) : 11,500원
우삼겹부대찌개(3인) : 34,500원
우삼겹부대찌개(4인) : 46,000원
우삼겹부대찌개(2인) : 23,000원
치즈부대찌개(1인) : 9,900원
소곱창부대전골(중) : 31,000원
소곱창부대전골(대) : 41,000원
놀부사리 : 5,500원
햄사리 : 3,500원
감자만두사리 : 2,500원
우동사리 : 2,000원
생라면사리 : 2,000원
왕오징어튀김 : 9,000원
제육불고기 : 9,000원
새우볼 : 3,000원
물만두 : 4,000원
통등심체다돈카츠 : 9,500원
콜라 355ml : 2,000원
스프라이트 355ml : 2,000원
",02-2024-8822
3040000-101-2005-00211,진한국밥, 자양동,3040000.0,서울특별시 광진구 뚝섬로 607 (자양동),국밥,"월/10:00 - 새벽 02:00
화/10:00 - 21:00
수/10:00 - 새벽 02:00
목/10:00 - 새벽 02:00
금/10:00 - 새벽 02:00
토/10:00 - 새벽 02:00
일/10:00 - 새벽 02:00
","수육국밥 : 7,000원
수육국밥(수육국밥(특)) : 8,000원
수육순대국밥 : 8,000원
수육순대국밥(수육순대국밥(특)) : 9,000원
얼큰이 국밥 : 8,000원
얼큰이 국밥(얼큰이 국밥(특)) : 10,000원
물냉면 : 8,000원
물냉면(물냉면(특)) : 9,000원
비빔냉면 : 8,000원
비빔냉면(비빔냉면(특)) : 9,000원
수육국밥 : 7,000원
수육국밥(수육국밥(특)) : 8,000원
수육순대국밥 : 8,000원
수육순대국밥(수육순대국밥(특)) : 9,000원
얼큰이 국밥 : 8,000원
착한 전통 순대 : 7,000원
착한 편육 : 7,000원
공기밥 : 1,000원
착한감자만두(8개) : 6,000원
진한떡볶이(2~3인분) : 16,000원
코카콜라 500ml : 2,000원
칠성사이다500ml : 2,000원
소면추가 : 1,000원
",02-444-8254
